"Date","Price","Open","High","Low","Change %"
"04/19/2026","6.933","6.880","6.940","6.880","0.41%"
"04/12/2026","6.905","6.930","6.930","6.860","-0.13%"
"04/05/2026","6.914","7.040","7.040","6.890","-3.02%"
"03/29/2026","7.129","6.950","7.120","6.950","2.84%"
"03/22/2026","6.932","6.830","6.920","6.830","2.89%"
"03/15/2026","6.737","6.700","6.730","6.700","0.87%"
"03/08/2026","6.679","6.720","6.720","6.630","-0.13%"
"03/01/2026","6.688","6.670","6.680","6.630","0.41%"
"02/22/2026","6.661","6.690","6.690","6.650","-0.95%"
"02/15/2026","6.725","6.660","6.720","6.650","0.72%"
"02/08/2026","6.677","6.750","6.750","6.670","-0.83%"
"02/01/2026","6.733","6.760","6.760","6.640","0.57%"
"01/25/2026","6.695","6.660","6.710","6.660","0.47%"
"01/18/2026","6.664","6.680","6.680","6.630","-0.21%"
"01/11/2026","6.678","6.600","6.670","6.600","0.63%"
"01/04/2026","6.636","6.630","6.630","6.600","0.41%"
"12/28/2025","6.609","6.590","6.600","6.570","0.75%"
"12/21/2025","6.560","6.660","6.660","6.530","-0.70%"
"12/14/2025","6.606","6.590","6.600","6.560","0.15%"
"12/07/2025","6.596","6.560","6.660","6.560","1.48%"
"11/30/2025","6.500","6.570","6.570","6.490","-0.43%"
"11/23/2025","6.528","6.520","6.520","6.480","-0.49%"
"11/16/2025","6.560","6.530","6.550","6.520","0.51%"
"11/09/2025","6.527","6.480","6.520","6.480","0.09%"
"11/02/2025","6.521","6.520","6.530","6.510","-0.12%"
"10/26/2025","6.529","6.530","6.570","6.520","-0.06%"
"10/19/2025","6.533","6.500","6.530","6.500","0.42%"
"10/12/2025","6.506","6.510","6.510","6.480","-0.38%"
"10/05/2025","6.531","6.510","6.520","6.500","0.26%"
"09/28/2025","6.514","6.560","6.560","6.510","-0.05%"
"09/21/2025","6.517","6.470","6.510","6.460","0.43%"
"09/14/2025","6.489","6.490","6.500","6.460","0.09%"
"09/07/2025","6.483","6.460","6.480","6.460","0.34%"
"08/31/2025","6.461","6.580","6.580","6.450","-1.93%"
"08/24/2025","6.588","6.580","6.610","6.530","0.60%"
"08/17/2025","6.549","6.480","6.540","6.480","2.30%"
"08/10/2025","6.402","6.420","6.480","6.400","0.05%"
"08/03/2025","6.399","6.310","6.400","6.310","0.44%"
"07/27/2025","6.371","6.370","6.370","6.360","0.28%"
"07/20/2025","6.353","6.290","6.350","6.290","0.76%"
